3536-23268-0009-0_01.flac,"""Miss Millner, you shall not leave the house this evening."" ""Sir!"""
3536-23268-0016-0_05.flac,"Miss Woodley obediently sat down, and though her thoughts and heart were in the chamber of her friend, she never marked by one impertinent word, or by one line of her face the restraint she suffered."
3536-23268-0018-0_02.flac,"Miss Woodley thought it her duty to be mute, and now the jingle of a teaspoon was like a deep-toned bell, all was so quiet."
3536-23268-0019-0_005.flac,"Misses Horton, too, in the self-approving reflection that she was not in a quarrel or altrercation of any kind, felt herself at this moment remarkably peaceful and charitable."
3536-23268-0021-0_05.flac,"He talked, drank his tea, and ever to talk to found it difficult, sometimes read and in this manor near two hours had passed away when Miss Millner came into the room. Not dressed for a ball, but as she had risen from dinner."
3536-23268-0029-0_1.flac,"""I'll make you roses instead,"" and going to her said, ""once more, surely you can be available today."""
3536-8226-0000-0_05.flac,"In the last communication that he had received from Junobos, she had scolded him in terms that were, for her, severe because he had not returned to his wife to talk to her in the office in Naples."
3536-8226-0002-0_005.flac,"At last, he sent word to say that he himself would be in England before the end of March and would see that the majesty of the law should be vindicated in his favor."
3536-8226-0005-0_1.flac,"As the citisen droped he would see order ___ he would have taken a side and every word even though her husband ___ every word  of lawyer."
3536-8226-0009-0_02.flac,"He can't suckle him, can he?"
3536-8226-0010-0_1.flac,"And from there women have followed him and their husbands have the wrong picture, for their ___, they'll never let us have another ___."
3536-8226-0011-0_02.flac,"""I'll tell you what it is, Bee"", explained Misses Basel, ""if my belief as he ain't quite right up here,"" and Misses Basel touched her forehead."
3536-8226-0014-0_005.flac,"But as for this here child, Bee."
3536-8226-0015-0_01.flac,"Travallion had followed his letter quicker than he had intended when it was written and was now with his Prime Minister before his Prime Minister had been able to take any action on the last instruction received."
3536-8226-0028-0_01.flac,"He's up in town, sir, a minding of parliamentary duties."
